Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201700000001,3,39,,,2,02,,,2,1,1,000,070,1,0,1,99
201700000002,3,39,,,2,02,,,0,1,0,006,010,1,,,
201700000003,3,39,,,2,02,,,0,1,0,000,010,1,,,
201700000004,3,39,,D,2,02,,,0,1,0,000,010,1,,,
201700000005,3,39,,,2,02,,,0,1,0,000,000,1,0,1,99
201700000006,3,41,,C,2,02,,,0,1,1,000,000,1,0,1,99
201700000007,3,39,,,2,02,,,0,1,0,000,000,1,0,1,99
201700000008,4,0,,,2,02,,,0,1,1,000,000,1,0,1,99
201700000009,3,41,,C,2,02,,,0,1,0,000,000,1,0,3,99
201700000010,2,41,,,3,04,,,0,1,0,000,020,1,,,
201700000011,3,641,,,2,02,,,2,1,0,000,010,1,,,
201700000012,3,145,,,2,02,,,0,1,2,000,065,1,0,3,99
201700000013,3,22,,,2,02,,,0,1,0,000,020,1,,,
201700000014,3,145,,,2,02,,,0,1,1,000,000,2,0,1,99
201700000015,3,19,,,2,02,,,1,1,3,000,000,7,0,1,99
201700000016,3,655,,,2,02,2,620,0,1,1,000,000,1,0,1,99
201700000017,3,19,,,2,02,,,0,1,0,000,000,1,0,1,99
201700000018,3,549,,,2,02,,,0,1,0,000,010,1,,,
201700000019,3,54,,,2,02,,,0,1,0,000,015,1,,,
201700000020,3,54,,,2,02,,,0,1,1,000,000,1,0,1,99
201700000021,3,549,,,2,02,,,0,1,0,009,010,1,,,
201700000022,3,94,,,2,02,,,0,1,0,000,010,1,,,
201700000023,3,54,,A,2,02,1,0,0,1,1,000,066,1,0,1,99
201700000024,3,943,,D,2,02,,,0,4,2,000,061,1,0,3,99
201700000025,3,943,,B,2,02,6,22,0,1,1,000,000,1,0,3,99
201700000026,3,53,,,2,02,4,605,0,1,0,000,010,1,,,
201700000027,3,916,,,2,02,,,0,1,1,000,000,1,0,3,99
201700000028,4,,,,,,,,,,,,,,,,
201700000029,3,943,,,2,02,,,0,1,2,000,061,1,0,3,99
201700000030,3,916,,,2,02,8,100,0,1,1,000,070,1,0,1,99
201700000031,3,916,,,2,02,,,0,1,0,000,010,1,,,
201700000032,3,943,,,2,02,,,0,1,1,000,077,1,0,1,99
201700000033,3,138,,,2,02,15,800,0,1,2,000,065,1,0,1,99
201700000034,3,947,,,2,02,13,900,0,1,3,000,069,2,0,1,99
201700000035,3,318,,,2,02,6,120,0,2,3,000,060,1,0,1,99
201700000036,4,0,,,2,02,,,0,1,1,000,000,1,0,1,99
201700000037,3,18,,,2,02,,,0,2,4,000,000,1,0,1,99
201700000038,4,,,,,,,,,,,,,,,,
201700000039,3,318,,,2,02,,,0,2,3,000,000,2,0,3,99
201700000040,3,122,,,2,02,,,0,1,1,000,000,2,0,3,99
201700000041,3,18,,,1,01,,,0,1,0,006,010,1,,,
201700000042,4,0,,,2,02,,,0,1,1,000,000,1,0,1,99
201700000043,3,18,,,2,02,,,0,1,1,000,000,1,0,1,03
201700000044,3,38,,,2,02,31,152,0,1,0,007,610,1,,,
201700000045,3,2945,,,2,02,,,0,1,0,006,010,1,,,
201700000046,3,945,,,2,02,6,120,0,1,2,000,000,1,0,1,99
201700000047,3,322,,,2,02,,,0,1,1,000,050,1,0,1,99
201700000048,3,946,,,2,02,,,0,1,3,000,064,2,0,3,99
201700000049,4,0,,,2,02,,,0,2,1,000,000,7,0,3,99
201700000050,4,0,,,2,02,,,0,1,1,000,000,1,0,1,99
201700000051,3,946,,,2,02,6,250,0,1,1,000,060,1,0,1,99
201700000052,3,122,,,,,,,,,,,,,,,
201700000053,3,916,,,2,02,2,0,0,1,1,000,060,1,0,1,99
201700000054,3,122,,,2,02,19,500,0,1,1,000,075,2,0,1,99
201700000055,3,90,,,2,02,8,600,2,1,0,007,510,1,5,1,99
201700000056,3,93,,,2,02,,,0,1,0,005,510,1,,,
201700000057,3,941,,,2,02,,,1,1,0,400,010,1,,,
201700000058,3,941,,,2,02,40,,1,1,0,000,010,0,,,
201700000059,3,90,,,2,02,,,0,2,0,006,010,3,,,
201700000060,3,90,,,2,02,,,1,1,0,000,060,2,0,3,99
201700000061,3,941,,,2,02,,,1,1,1,,,1,0,1,00
201700000062,3,90,,d,2,02,,,0,1,0,006,010,1,,,
201700000063,3,955,,,2,02,,,0,1,0,000,000,1,0,4,99
201700000064,3,955,,,2,02,,,2,1,0,000,081,1,0,0,99
201700000065,3,955,,,2,02,,,0,1,0,006,910,1,,,
201700000066,3,145,,,2,02,,,0,1,0,000,010,4,,,
201700000067,3,19,,,2,02,,,0,1,3,000,050,2,0,1,99
201700000068,3,955,,,2,02,55,500,0,1,1,,,1,0,1,00
201700000069,3,945,,,2,02,19,200,2,1,1,000,133,2,0,1,99
201700000070,3,36,,A,2,02,5,7,0,1,1,000,056,2,0,1,03
201700000071,3,7,,,2,02,12,50,0,1,3,000,000,1,0,3,99
201700000072,3,57,,,2,02,,,0,1,1,070,000,2,0,1,99
201700000073,3,945,,,2,02,26,638,2,1,1,000,096,1,0,1,99
201700000074,3,36,,,2,02,9,500,0,1,1,000,070,1,0,3,99
201700000075,3,257,,,2,02,2,500,1,1,1,000,070,1,0,3,99
201700000076,3,945,,,2,02,,,0,1,1,000,099,1,0,1,99
201700000077,3,945,,,4,01,,,0,1,0,000,015,1,,,
201700000078,3,945,,,2,02,25,200,0,4,0,000,010,1,,,
201700000079,3,958,,,2,02,,,0,1,0,000,000,1,0,1,99
201700000080,3,74,,,2,02,,,0,1,3,000,065,1,0,3,99
201700000081,4,,,,,,,,,,,,,,,,
201700000082,9,0,,,0,02,,,0,1,1,000,000,2,0,1,99
201700000083,3,449,,D,2,02,0,0,0,1,,000,060,1,0,1,99
201700000084,3,88,,,2,02,,,0,1,0,000,010,1,,,
201700000085,4,955,,,2,02,,,0,1,0,006,020,1,,,
201700000086,3,49,,,2,02,,,0,2,3,000,060,1,0,4,99
201700000087,3,104,,,2,02,1,315,0,1,0,000,045,3,,,
201700000088,3,104,,,2,02,1,315,0,1,0,000,045,1,,,
201700000089,4,0,,,2,02,,,0,2,1,000,000,1,0,1,99
201700000090,3,962,,,2,02,6,800,0,1,1,000,115,1,0,1,99
201700000091,9,0,,,1,01,,,0,2,1,000,000,1,0,3,03
201700000092,4,0,,,2,02,,,0,4,0,000,015,1,,,
201700000093,3,965,,,2,02,,,0,1,1,000,000,1,0,1,99
201700000094,3,33,,,2,02,18,780,0,1,2,000,060,1,0,1,99
201700000095,2,2,,,2,02,18,400,0,1,1,000,068,1,0,1,99
201700000096,3,951,,,2,02,31,150,0,1,1,000,070,1,0,3,99
201700000097,4,0,,,2,02,,,0,1,1,000,070,2,0,1,99
