Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201500000001,0,33,000,00,2,1,01,A01
201500000001,0,07,000,00,2,5,20,B02
201500000002,0,30,000,12,2,3,17,A01
201500000002,0,07,000,00,2,3,23,B02
201500000003,0,30,000,00,2,1,01,B02
201500000003,0,07,000,00,2,4,01,A01
201500000004,0,07,000,00,2,1,01,A01
201500000004,0,02,000,00,2,1,13,B02
201500000005,0,07,000,00,1,0,01,A01
201500000006,0,07,000,00,2,1,01,B02
201500000006,0,07,000,07,2,5,19,A01
201500000007,0,07,000,00,2,1,11,A01
201500000007,0,07,000,00,2,1,01,B02
201500000008,0,07,000,00,2,3,13,A01
201500000008,0,07,000,00,2,3,01,B02
201500000009,0,07,000,00,2,1,01,A01
201500000009,0,07,000,00,2,8,15,B02
201500000010,0,31,000,00,2,1,00,B02
201500000010,0,10,000,00,0,3,15,A01
201500000011,0,07,000,00,2,7,19,A01
201500000011,0,33,000,00,2,1,01,B02
201500000012,0,33,000,00,2,1,01,B02
201500000012,0,10,000,00,2,3,15,A01
201500000013,0,02,000,00,2,1,01,A01
201500000013,0,07,000,00,2,3,15,B02
201500000014,0,07,000,00,2,1,19,B02
201500000014,0,07,000,00,0,2,01,A01
201500000015,0,07,000,00,2,1,09,A01
201500000015,0,31,000,00,2,7,17,B02
201500000016,0,07,000,08,0,2,01,A01
201500000017,0,07,000,00,2,2,02,B02
201500000017,0,07,000,00,2,4,02,A01
201500000018,0,33,000,00,2,1,17,A01
201500000018,0,07,000,00,2,4,15,B02
201500000019,0,33,000,00,2,2,01,B02
201500000019,0,07,000,00,2,1,10,A01
201500000020,0,07,000,00,2,1,01,B02
201500000020,0,07,000,00,2,2,01,C03
201500000020,0,07,000,00,9,0,01,D04
201500000020,0,07,000,00,2,1,00,A01
201500000021,0,07,000,00,2,3,01,A01
201500000021,0,07,000,00,2,8,19,B02
201500000022,0,07,000,13,0,1,00,A01
201500000023,0,07,000,00,0,1,00,A01
201500000023,0,30,000,00,0,7,00,B02
201500000024,0,10,000,00,2,1,01,A01
201500000024,0,31,000,00,2,7,15,B02
201500000025,0,07,000,00,1,5,01,A01
201500000026,0,07,000,00,1,3,01,A01
201500000027,0,07,000,00,2,1,01,B02
201500000027,0,07,000,00,2,1,13,A01
201500000028,0,07,000,13,0,1,01,A01
201500000029,0,30,000,00,2,8,00,A01
201500000030,0,07,000,00,2,1,01,A01
201500000030,0,07,000,00,2,2,19,B02
201500000031,0,07,000,06,0,1,01,A01
201500000032,2,07,000,00,2,3,17,A01
201500000032,0,07,000,00,2,1,02,B02
201500000033,0,21,000,00,0,9,01,A01
201500000034,0,10,000,00,2,1,19,A01
201500000034,0,07,000,00,0,8,01,B02
201500000035,0,07,000,00,2,1,13,A01
201500000035,0,07,000,00,2,1,01,B02
201500000036,0,14,000,00,2,1,01,B02
201500000036,0,07,000,00,2,1,05,A01
201500000037,0,07,000,00,2,1,01,B02
201500000037,0,07,000,00,2,8,15,A01
201500000038,0,14,000,00,1,7,16,A01
201500000039,0,07,000,00,2,8,19,A01
201500000039,0,07,000,00,2,1,01,B02
201500000040,0,07,000,00,2,1,01,B02
201500000040,0,07,000,00,2,3,19,A01
201500000041,0,07,000,08,0,7,14,A01
201500000042,0,33,000,00,0,0,17,A01
201500000043,0,07,000,13,0,1,14,A01
201500000044,0,33,000,13,0,1,01,A01
201500000045,0,07,000,00,2,1,19,A01
201500000045,0,07,000,00,0,8,01,B02
201500000046,0,07,000,13,0,9,01,A01
201500000047,0,10,000,00,2,1,01,B02
201500000047,0,07,000,00,2,3,21,C03
201500000047,0,07,000,00,2,1,13,A01
201500000048,0,33,000,00,2,1,17,A01
201500000048,0,99,000,00,2,3,15,B02
201500000049,0,35,000,00,2,3,13,A01
201500000049,0,07,000,00,2,7,01,C03
201500000049,0,07,000,00,2,3,01,B02
201500000050,0,07,000,00,2,2,17,A01
201500000050,0,07,000,00,2,7,01,C03
201500000050,0,07,000,00,2,6,02,B02
201500000051,0,07,000,00,1,3,01,A01
201500000052,0,30,000,00,2,1,05,A01
201500000052,0,07,000,00,2,2,01,B02
201500000053,0,07,000,13,0,2,14,A01
201500000054,0,10,000,08,0,1,01,A01
201500000055,0,33,000,00,2,1,21,B02
201500000055,0,07,000,00,2,3,10,A01
201500000056,0,37,000,00,1,3,01,A01
201500000057,0,07,000,00,1,3,01,A01
201500000058,0,07,000,13,0,1,01,A01
201500000059,0,14,000,00,0,3,01,B02
201500000059,0,07,000,00,0,3,13,A01
201500000060,0,07,000,06,0,1,01,A01
