,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,surf,env1,tot_val
0,1.0,0.0,0.0,0,1.0,1.0,0,2,1.0,0,2
1,1.0,0.0,0.0,0,1.0,1.0,0,2,2.0,0,1
2,1.0,0.0,0.0,0,1.0,1.0,0,2,7.0,0,1
3,1.0,0.0,0.0,0,1.0,1.0,0,3,1.0,0,3
4,1.0,0.0,0.0,0,1.0,1.0,0,3,2.0,0,3
5,1.0,0.0,0.0,0,1.0,1.0,0,4,1.0,0,3
6,1.0,0.0,0.0,0,1.0,1.0,1,2,1.0,0,3
7,1.0,0.0,0.0,0,1.0,1.0,1,2,2.0,0,3
8,1.0,0.0,0.0,0,1.0,1.0,1,3,1.0,0,4
9,1.0,0.0,0.0,0,1.0,1.0,1,3,2.0,0,3
10,1.0,0.0,0.0,0,1.0,1.0,1,3,7.0,0,1
11,1.0,0.0,0.0,0,1.0,1.0,1,4,1.0,0,4
12,1.0,0.0,0.0,0,1.0,1.0,1,4,2.0,0,3
13,1.0,0.0,0.0,0,1.0,1.0,2,2,1.0,0,2
14,1.0,0.0,0.0,0,1.0,1.0,2,3,1.0,0,3
15,1.0,0.0,0.0,0,1.0,1.0,2,4,1.0,0,4
16,1.0,0.0,0.0,0,1.0,1.0,2,4,2.0,0,3
17,1.0,0.0,0.0,0,1.0,1.0,3,2,1.0,0,1
18,1.0,0.0,0.0,0,1.0,1.0,3,3,2.0,0,1
19,1.0,0.0,0.0,0,1.0,1.0,4,1,2.0,0,1
20,1.0,0.0,0.0,0,1.0,1.0,4,2,1.0,0,1
21,1.0,0.0,0.0,0,1.0,2.0,0,3,1.0,0,1
22,1.0,0.0,0.0,0,1.0,2.0,0,3,2.0,0,1
23,1.0,0.0,0.0,0,1.0,2.0,0,4,1.0,0,1
24,1.0,0.0,0.0,0,1.0,2.0,1,3,2.0,0,1
25,1.0,0.0,0.0,0,1.0,2.0,1,4,1.0,0,1
26,1.0,0.0,0.0,0,1.0,2.0,2,3,1.0,0,1
27,1.0,0.0,0.0,0,1.0,2.0,2,4,2.0,0,1
28,1.0,0.0,0.0,0,1.0,3.0,0,2,1.0,0,1
29,1.0,0.0,0.0,0,1.0,3.0,0,2,2.0,0,1
30,1.0,0.0,0.0,0,1.0,3.0,0,3,1.0,0,1
31,1.0,0.0,0.0,0,1.0,3.0,1,3,1.0,0,1
